  -4.37113901E-09   5.09999953E-02
  -8.74227801E-09   3.99997830E-03
  -1.31134170E-08 -0.141000003    
  -1.74845560E-08 -0.384000093    
  -2.18556941E-08 -0.725000024    
  -2.62268340E-08  -1.16400003    
  -3.05979704E-08  -1.70099998    
  -3.49691121E-08  -2.33600044    
  -3.93402502E-08  -3.06900024    
  -4.37113883E-08  -3.90000010    
  -4.80825264E-08  -4.82900047    
  -5.24536681E-08  -5.85599995    
  -5.68248062E-08  -6.98100090    
  -6.11959408E-08  -8.20400047    
  -6.55670789E-08  -9.52500057    
  -6.99382241E-08  -10.9440012    
  -7.43093622E-08  -12.4610014    
  -7.86805003E-08  -14.0760012    
  -8.30516385E-08  -15.7889996    
  -8.74227766E-08  -17.6000004    
  -9.17939218E-08  -19.5090046    
  -9.61650528E-08  -21.5160007    
  -1.00536191E-07  -23.6210003    
  -1.04907336E-07  -25.8240013    
  -1.09278474E-07  -28.1250000    
  -1.13649612E-07  -30.5240040    
  -1.18020751E-07  -33.0210037    
  -1.22391882E-07  -35.6160011    
  -1.26763027E-07  -38.3090019    
  -1.31134158E-07  -41.1000023    
  -1.35505303E-07  -43.9890060    
  -1.39876448E-07  -46.9760056    
  -1.44247579E-07  -50.0609970    
  -1.48618724E-07  -53.2440033    
  -1.52989855E-07  -56.5250015    
  -1.57361001E-07  -59.9040070    
  -1.61732132E-07  -63.3810005    
  -1.66103277E-07  -66.9559937    
  -1.70474422E-07  -70.6290054    
  -1.74845553E-07  -74.4000015    
  -1.79216684E-07  -78.2689972    
  -1.83587844E-07  -82.2360229    
  -1.87958975E-07  -86.3010101    
  -1.92330106E-07  -90.4640045    
  -1.96701251E-07  -94.7249985    
  -2.01072382E-07  -99.0839996    
  -2.05443541E-07  -103.541016    
  -2.09814672E-07  -108.096001    
  -2.14185803E-07  -112.749001    
  -2.18556949E-07  -117.500000    
  -2.22928080E-07  -122.348999    
  -2.27299225E-07  -127.296021    
  -2.31670370E-07  -132.341003    
  -2.36041501E-07  -137.484024    
  -2.40412646E-07  -142.725006    
  -2.44783763E-07  -148.063995    
  -2.49154937E-07  -153.501007    
  -2.53526053E-07  -159.036011    
  -2.57897199E-07  -164.669022    
  -2.62268316E-07  -170.400009    
  -2.66639461E-07  -176.228989    
  -2.71010606E-07  -182.156021    
  -2.75381751E-07  -188.181015    
  -2.79752896E-07  -194.304031    
  -2.84124013E-07  -200.525009    
  -2.88495158E-07  -206.843979    
  -2.92866304E-07  -213.261017    
  -2.97237449E-07  -219.776016    
  -3.01608594E-07  -226.389008    
  -3.05979711E-07  -233.100006    
  -3.10350856E-07  -239.908997    
  -3.14722001E-07  -246.816025    
  -3.19093147E-07  -253.820999    
  -3.23464263E-07  -260.924011    
  -3.27835409E-07  -268.125000    
  -3.32206554E-07  -275.423981    
  -3.36577699E-07  -282.821014    
  -3.40948844E-07  -290.316040    
  -3.45319961E-07  -297.908997    
  -3.49691106E-07  -305.600006    
  -3.54062252E-07  -313.389038    
  -3.58433368E-07  -321.275970    
  -3.62804542E-07  -329.261017    
  -3.67175687E-07  -337.344086    
  -3.71546804E-07  -345.524994    
  -3.75917949E-07  -353.804047    
  -3.80289066E-07  -362.180969    
  -3.84660211E-07  -370.656036    
  -3.89031385E-07  -379.229034    
  -3.93402502E-07  -387.899994    
  -3.97773647E-07  -396.669037    
  -4.02144764E-07  -405.535980    
  -4.06515909E-07  -414.501038    
  -4.10887083E-07  -423.564056    
  -4.15258199E-07  -432.725006    
  -4.19629345E-07  -441.984009    
  -4.24000461E-07  -451.340973    
  -4.28371607E-07  -460.796021    
  -4.32742780E-07  -470.349060    
  -4.37113897E-07  -480.000000    
